sample	project
SRR9696284	PRJNA472006
SRR6145058	PRJNA413474
SRR6145059	PRJNA413474
SRR6145060	PRJNA413474
SRR6145061	PRJNA413474
SRR6145062	PRJNA413474
SRR6145063	PRJNA413474
SRR6145064	PRJNA413474
SRR6145065	PRJNA413474
SRR6145066	PRJNA413474
SRR6145067	PRJNA413474
SRR6145068	PRJNA413474
SRR6145069	PRJNA413474
SRR6145070	PRJNA413474
SRR6145071	PRJNA413474
SRR6145072	PRJNA413474
SRR6145073	PRJNA413474
SRR6145074	PRJNA413474
SRR6145075	PRJNA413474
SRR6145076	PRJNA413474
SRR6145077	PRJNA413474
SRR6145078	PRJNA413474
SRR6145079	PRJNA413474
SRR6145080	PRJNA413474
SRR6145081	PRJNA413474
SRR6145082	PRJNA413474
SRR6145083	PRJNA413474
SRR6145084	PRJNA413474
SRR6145085	PRJNA413474
SRR6145086	PRJNA413474
SRR6145087	PRJNA413474
SRR6145088	PRJNA413474
SRR6145089	PRJNA413474
SRR6145090	PRJNA413474
SRR6145091	PRJNA413474
SRR6145092	PRJNA413474
SRR6145093	PRJNA413474
SRR6145094	PRJNA413474
SRR6145095	PRJNA413474
SRR6145096	PRJNA413474
SRR6145097	PRJNA413474
SRR6145098	PRJNA413474
SRR6145099	PRJNA413474
SRR6145100	PRJNA413474
SRR6145101	PRJNA413474
SRR6145102	PRJNA413474
SRR6145103	PRJNA413474
SRR6145104	PRJNA413474
SRR6145105	PRJNA413474
